ParentID,SubID
A1008-00,VE004100
A0142-00,A0143-29
A0142-00,A0143-28
A0142-00,A0143-30
A0142-00,A0143-27
A1000-00,A5260-00
A1194-00,A1194-01
F1000-00,F0974-18
B427LS,B1393-02
B427LS,B1393-03
B1005-00,B049GN
C0938-00,C0938-01
C0007-00,C0007-10
C1021-00,BA214700
C1021-00,C584MR
D3807-00,D3807-01
E2538-00,E2538-01
E4579-00,E4579-15
E4579-00,E4579-13
E4579-00,E4579-14
E4579-00,E4579-08
E4579-00,E4579-09
E4579-00,E4579-10
E4579-00,E4579-11
E4579-00,E4579-12
F1000-00,F0974-19
G0594-01,G218MR
H1006-00,H1006-19
H148GN,H2023-08
H148GN,H3023-09
H1001-00,H1001-05
H1295-00,H1295-01
H1295-00,H1295-00
I2453-00,I2453-20
I2022-00,I2022-33
K1003-00,KE005100
K2410-00,K2410-01
L4490-00,L4490-02
L2807-00,DO061L00
M1890-00,A0185
M1890-00,A287LS
M1890-00,A418MR
M1890-00,A637MR
M1890-00,B020MR
M1890-00,B126MR
M1890-00,B127MR
M1890-00,B132MR
M1890-00,B139MR
M1890-00,B153GN
M1890-00,B252MR
M1890-00,C0183
M1890-00,C242GN
M1890-00,C302LS
M1890-00,C375MR
M1890-00,D094MR
M1890-00,E058MR
M1890-00,E122MR
M1890-00,E238GN
M1890-00,F0018
M1890-00,F132MR
M1890-00,F231MR
M1890-00,F241MR
M1890-00,F258MR
M1890-00,G076MR
M1890-00,G159LS
M1890-00,G231MR
M1890-00,H105MR
M1890-00,H108MR
M1890-00,H344MR
M1890-00,H388MR
M1890-00,K046MR
M1890-00,K049LS
M1890-00,K053MR
M1890-00,K063MR
M1890-00,K211MR
M1890-00,L066MR
M1890-00,L252MR
M1890-00,M0004
M1890-00,M0111
M1890-00,M0167
M1890-00,M016MR
M1890-00,M065GN
M1890-00,M118GN
M1890-00,M152MR
M1890-00,M162MR
M1890-00,M163MR
M1890-00,M165GN
M1890-00,M167GN
M1890-00,M173MR
M1890-00,M175MR
M1890-00,M179MR
M1890-00,M184MR
M1890-00,M222MR
M1890-00,M223MR
M1890-00,M228MR
M1890-00,M236MR
M1890-00,M257MR
M1890-00,M265MR
M1890-00,M267MR
M1890-00,M274MR
M1890-00,M281GN
M1890-00,M284GN
M1890-00,M289MR
M1890-00,M290GN
M1890-00,M291GN
M1890-00,M293MR
M1890-00,M299GN
M1890-00,M302MR
M1890-00,M308MR
M1890-00,M320MR
M1890-00,M339MR
M1890-00,M341MR
M1890-00,M342GN
M1890-00,M347MR
M1890-00,M357MR
M1890-00,M358MR
